id,name_JP,name,playable,STR,END,DEX,PER,LER,WIL,MAG,CHA,SPD,elements,weapon,equip,domain,detail_JP,detail
warrior,戦士,warrior,1,10,10,2,0,0,3,0,0,0,"101,6,107,4,111,6,102,6,106,4,110,5,130,4,132,4,300,5,123,3,122,3,1400,2","sword,axe,blunt,polearm,scythe",warrior,"910,1,911,1,924,1",戦士は己の肉体を武器に、立ちはだかるものを破壊し突き進みます。魔法の扱いには向いていませんが、その高い戦闘能力には目を見張るものがあります。,"Warriors use their bodies as weapons, relentlessly destroying obstacles in their path. While they may not be adept at wielding magic, their impressive combat prowess is undeniable."
thief,遺跡荒らし,thief,1,4,4,8,5,4,0,0,0,0,"101,3,107,4,102,3,103,3,109,4,280,3,281,4,293,4,150,3,291,3,131,5,1401,2","sword,dagger",archer,"915,1,913,1,920,1",遺跡荒らしは、財宝を目当てに墓や遺跡から貴重品を持ち出すことで生計をたてています。彼らにはそこそこの戦闘能力と、商人と駆け引きをするために必要な才能があります。,"Thieves make their living by extracting valuable items from tombs and ruins, driven by the allure of treasure. They possess decent combat skills and a knack for negotiating with merchants."
wizard,魔法使い,wizard,1,0,0,0,4,3,8,10,0,0,"103,3,107,2,285,3,304,5,305,3,307,3,302,4,1402,2",staff,mage,"910,1,911,1,912,1,914,1,921,1",魔法使いは、その名のとおり魔法の知識に長けています。魔法使いの生死は、魔法書の取得と管理にかかっています。,"As the name suggests, wizards are well-versed in the art of magic. Their survival hinges on obtaining and managing their spellbooks."
farmer,農民,farmer,1,5,5,2,0,8,5,0,0,0,"110,6,106,3,103,3,300,3,306,2,286,5,287,4,226,3,1403,2,1650,1",scythe,warrior,"910,1,911,1,912,1",農民は生産を得意とする職業です。彼らは我慢強く、またある程度の身体能力を持っています。,Farmers are professionals who excel in production. They are resilient and possess a fair amount of physical ability.
archer,狩人,archer,1,6,4,8,5,2,0,0,0,0,"104,5,109,5,102,3,107,4,120,3,150,4,133,5,290,3,226,3,1404,2","dagger,axe",archer,"912,1,915,1,924,1",狩人は遠隔攻撃のスペシャリストです。多少の打撃能力もありますが、大抵は敵の接近を許さずに倒すことができるでしょう。,"Archers are specialists in ranged attacks. They may have some melee capabilities, but they typically defeat enemies from a distance without allowing them to get close."
warmage,魔法戦士,warmage,1,6,6,2,0,0,4,7,0,0,"101,4,111,4,103,4,106,4,285,3,304,4,150,4,132,3,227,3,1400,1,1402,1","sword,polearm",warrior,"910,1,911,1,916,1,918,1",魔法戦士は戦士と魔法使いの中間的な職業で、より打撃に重点を置いています。魔法を使いこなすためにも、バランスをとり成長させることが必要でしょう。,"Warmages represent an intermediate class between warriors and mages, with a focus on melee combat. To master magic, they must strike a balance and grow in both areas."
tourist,観光客,tourist,1,0,0,0,0,0,0,0,0,0,"200,3,245,3,240,3,1406,5","dagger,blunt,staff",tourist,"910,1,917,1,920,1",観光客はこの世界における伝統的な職業で、予想を裏切らないほど軟弱です。,"Tourists are a traditional class in this world, and they are predictably fragile."
pianist,ピアニスト,pianist,1,4,0,2,5,6,0,2,8,0,"207,5,241,5,108,4,285,3,291,3,1405,2","dagger,blunt,staff",pianist,"917,1,914,1,918,1",ピアニストは演奏を生業とする孤高の職業です。彼らは常にピアノを背負っているため、重荷に耐える能力があります。,"Pianists, the solitary professionals, make a living through their performances. Always burdened with their pianos, they have a remarkable capacity to bear heavy loads."
priest,神官,priest,1,2,2,0,2,2,10,7,2,0,"111,5,106,3,107,3,103,3,306,5,123,4,285,3,304,3,122,4,1407,1,1402,1","blunt,staff",mage,"910,1,912,1,919,1,921,1",神官は魔法の能力と供に、若干の肉弾戦への適正を持っています。彼らは信仰する神から、最大限の恩恵を受けることができるでしょう。,"Alongside their magical abilities, priests possess a certain aptitude for hand-to-hand combat. Their unwavering faith allows them to receive maximum blessings from the gods they serve."
gunner,機工兵,gunner,1,0,2,5,8,5,4,3,0,0,"105,6,111,3,109,3,133,5,293,4,210,4,150,3,152,3,1404,1,1401,1",blunt,gunner,"910,1,912,1,917,1",機工兵は銃器と爆薬の扱いに長けた近代兵器の専門家です。彼らはイエルが産み出した最新の兵器、または古代の機械の遺物を巧みに操ることができます。,"Gunners are experts in modern weaponry, skilled in handling firearms and explosives. They can adeptly operate the latest weapons produced by Yerl, as well as artifacts of ancient machinery."
