id,alias,name_JP,name,detail_JP,detail
1,old_charm,古びたお守り,Old Charm,どこか見覚えのある、色あせた貝殻のお守りだ。,A somewhat familiar looking amulet made of faded shells.
2,backpack,使い慣れたバックパック,Well-worn Backpack,どんな時でも頼りになる旅の相棒だ。,"Always reliable, no matter the journey."
3,well_wish,女神の残り香,"Fragrance of Goddess ",幸運の女神のふわふわな残り香。願いの女神を引き寄せるといわれている。,"The soft remaining fragrance of the Goddess of Luck. It is believed to draw the Goddess of Wish. "
4,well_enhance,黒猫のよだれ,Black Cat's Saliva,"強い祝福の魔力が含まれた唾液だ。

[所持効果]
井戸の願いを強化する。","Saliva containing the magical power of a strong blessing.

[Passive Effect]
Enhances the power of wishes made at wells."
5,jure_feather,女神の羽くず,Feather Shard of Goddess,癒しの女神の翼から抜け落ちた羽の一辺。,A piece of feather fallen from the wing of the Goddess of Healing.
500,key_vernis,ヴェルニース炭鉱の鍵,Key for Vernis Mine,ヴェルニース炭鉱の深層への扉の鍵だ。,The key to the depths of the mine in Vernis.
501,key_nymelle,ナイミールの鍵,Key for Nymelle,ナイミール深層への扉の鍵だ。,The key to the depths of Nymelle.
550,key_exile,赦しの腕輪,Bracelet of Forgiveness,枯れた蔦で編まれたボロボロの腕輪だ。,A tattered bracelet woven from withered vines.
552,potion_sorin,泡立つ謎の瓶,Bubbling Mysterious Vial,泡立つ透明な液体が入った瓶だ。とても穢れた匂いがする。,"A vial filled with a bubbling, clear liquid. It reeks of corruption."
553,potion_farris,泡立つ謎の瓶,Bubbling Mysterious Vial,泡立つ透明な液体が入った瓶だ。洗剤の匂いがする。,"A vial filled with a bubbling, clear liquid. It smells like detergent."
590,license_illumination,照明技師のライセンス,Illumination Engineer License,照明技師のライセンスだ。所持することで、照明の色を自由に変えることができるようになる。,A license for Illumination Engineer. Possessing it allows you to freely change colors of lights.
600,license_void,すくつ探索許可証,Void Exploration License,冒険者に謎の古代遺跡の探索を許可するライセンスだ。,A license permitting adventurers to explore the mysterious ancient ruins.
601,license_adv,上級冒険者ライセンス,Advanced Adventurer License,上級冒険者であることを証明するライセンスだ。通常の冒険者の上限を超えて名声を獲得できるようになり、ティリスに危険なネフィアが生成されるようになる。,"A license that certifies the holder as an advanced adventurer, allowing acquisition of fame beyond the usual limits for adventurers and results in the generation of dangerous Nefias in Tyris."
610,lucky_coin,ラッキーコイン,Lucky Coin,持つものに幸運をもたらすと噂されるコインだ。,A coin said to bring fortune to its possessor.
